result,cur_unit,ttb,tts,deal_bas_r,bkpr,yy_efee_r,ten_dd_efee_r,kftc_bkpr,kftc_deal_bas_r,cur_nm,date
1.0,DKK,191.56,195.43,193.5,193,0,0,193,193.5,덴마아크 크로네,2023-05-12
1.0,EUR,"1,426.82","1,455.65","1,441.24","1,441",0,0,"1,441","1,441.24",유로,2023-05-12
1.0,GBP,"1,635.24","1,668.27","1,651.76","1,651",0,0,"1,651","1,651.76",영국 파운드,2023-05-12
1.0,HKD,166.79,170.16,168.48,168,0,0,168,168.48,홍콩 달러,2023-05-12
1.0,IDR,8.88,9.05,8.97,8,0,0,8,8.97,인도네시아 루피아,2023-05-12
1.0,JPY,972.03,991.66,981.85,981,0,0,981,981.85,일본 옌,2023-05-12
1.0,KRW,0,0,1,1,0,0,1,1,한국 원,2023-05-12
1.0,KWD,"4,262.78","4,348.89","4,305.84","4,305",0,0,"4,305","4,305.84",쿠웨이트 디나르,2023-05-12
1.0,MYR,292.91,298.82,295.87,295,0,0,295,295.87,말레이지아 링기트,2023-05-12
1.0,NOK,122.5,124.97,123.74,123,0,0,123,123.74,노르웨이 크로네,2023-05-12
1.0,NZD,823.01,839.64,831.33,831,0,0,831,831.33,뉴질랜드 달러,2023-05-12
1.0,SAR,348.53,355.58,352.06,352,0,0,352,352.06,사우디 리얄,2023-05-12
1.0,SEK,126.51,129.06,127.79,127,0,0,127,127.79,스웨덴 크로나,2023-05-12
1.0,SGD,981.59,"1,001.42",991.51,991,0,0,991,991.51,싱가포르 달러,2023-05-12
1.0,THB,38.64,39.43,39.04,39,0,0,39,39.04,태국 바트,2023-05-12
1.0,USD,"1,307.09","1,333.5","1,320.3","1,320",0,0,"1,320","1,320.3",미국 달러,2023-05-12
1.0,AED,359.53,366.8,363.17,363,0,0,363,363.17,아랍에미리트 디르함,2023-05-15
1.0,AUD,877.05,894.76,885.91,885,0,0,885,885.91,호주 달러,2023-05-15
1.0,BHD,"3,501.74","3,572.49","3,537.12","3,537",0,0,"3,537","3,537.12",바레인 디나르,2023-05-15
1.0,BND,986.29,"1,006.22",996.26,996,0,0,996,996.26,브루나이 달러,2023-05-15
1.0,CAD,973.75,993.42,983.59,983,0,0,983,983.59,캐나다 달러,2023-05-15
1.0,CHF,"1,469.4","1,499.09","1,484.25","1,484",0,0,"1,484","1,484.25",스위스 프랑,2023-05-15
1.0,CNH,189.94,193.77,191.86,191,0,0,191,191.86,위안화,2023-05-15
1.0,DKK,192.35,196.24,194.3,194,0,0,194,194.3,덴마아크 크로네,2023-05-15
1.0,EUR,"1,432.61","1,461.56","1,447.09","1,447",0,0,"1,447","1,447.09",유로,2023-05-15
1.0,GBP,"1,643.46","1,676.67","1,660.07","1,660",0,0,"1,660","1,660.07",영국 파운드,2023-05-15
1.0,HKD,168.34,171.75,170.05,170,0,0,170,170.05,홍콩 달러,2023-05-15
1.0,IDR,8.94,9.13,9.04,9,0,0,9,9.04,인도네시아 루피아,2023-05-15
1.0,JPY,972.38,992.03,982.21,982,0,0,982,982.21,일본 옌,2023-05-15
1.0,KRW,0,0,1,1,0,0,1,1,한국 원,2023-05-15
1.0,KWD,"4,302.63","4,389.56","4,346.1","4,346",0,0,"4,346","4,346.1",쿠웨이트 디나르,2023-05-15
1.0,MYR,294.77,300.72,297.75,297,0,0,297,297.75,말레이지아 링기트,2023-05-15
1.0,NOK,123.65,126.14,124.9,124,0,0,124,124.9,노르웨이 크로네,2023-05-15
1.0,NZD,817.57,834.08,825.83,825,0,0,825,825.83,뉴질랜드 달러,2023-05-15
1.0,SAR,352.05,359.16,355.61,355,0,0,355,355.61,사우디 리얄,2023-05-15
1.0,SEK,127.14,129.71,128.43,128,0,0,128,128.43,스웨덴 크로나,2023-05-15
1.0,SGD,986.29,"1,006.22",996.26,996,0,0,996,996.26,싱가포르 달러,2023-05-15
1.0,THB,38.92,39.71,39.32,39,0,0,39,39.32,태국 바트,2023-05-15
1.0,USD,"1,320.26","1,346.93","1,333.6","1,333",0,0,"1,333","1,333.6",미국 달러,2023-05-15
1.0,AED,360.64,367.93,364.29,364,0,0,364,364.29,아랍에미리트 디르함,2023-05-16
1.0,AUD,887.62,905.55,896.59,896,0,0,896,896.59,호주 달러,2023-05-16
1.0,BHD,"3,512.77","3,583.74","3,548.26","3,548",0,0,"3,548","3,548.26",바레인 디나르,2023-05-16
1.0,BND,991.1,"1,011.13","1,001.12","1,001",0,0,"1,001","1,001.12",브루나이 달러,2023-05-16
1.0,CAD,983.53,"1,003.4",993.47,993,0,0,993,993.47,캐나다 달러,2023-05-16
1.0,CHF,"1,478.89","1,508.76","1,493.83","1,493",0,0,"1,493","1,493.83",스위스 프랑,2023-05-16
1.0,CNH,190.08,193.93,192.01,192,0,0,192,192.01,위안화,2023-05-16
1.0,DKK,193.42,197.33,195.38,195,0,0,195,195.38,덴마아크 크로네,2023-05-16
1.0,EUR,"1,440.24","1,469.33","1,454.79","1,454",0,0,"1,454","1,454.79",유로,2023-05-16
1.0,GBP,"1,658.83","1,692.34","1,675.59","1,675",0,0,"1,675","1,675.59",영국 파운드,2023-05-16
1.0,HKD,168.96,172.37,170.67,170,0,0,170,170.67,홍콩 달러,2023-05-16
1.0,IDR,8.94,9.13,9.04,9,0,0,9,9.04,인도네시아 루피아,2023-05-16
1.0,JPY,973.73,993.4,983.57,983,0,0,983,983.57,일본 옌,2023-05-16
1.0,KRW,0,0,1,1,0,0,1,1,한국 원,2023-05-16
1.0,KWD,"4,314.77","4,401.94","4,358.36","4,358",0,0,"4,358","4,358.36",쿠웨이트 디나르,2023-05-16
1.0,MYR,294.47,300.42,297.45,297,0,0,297,297.45,말레이지아 링기트,2023-05-16
1.0,NOK,125.01,127.54,126.28,126,0,0,126,126.28,노르웨이 크로네,2023-05-16
1.0,NZD,826.83,843.54,835.19,835,0,0,835,835.19,뉴질랜드 달러,2023-05-16
1.0,SAR,353.17,360.3,356.74,356,0,0,356,356.74,사우디 리얄,2023-05-16
1.0,SEK,128,130.59,129.3,129,0,0,129,129.3,스웨덴 크로나,2023-05-16
1.0,SGD,991.1,"1,011.13","1,001.12","1,001",0,0,"1,001","1,001.12",싱가포르 달러,2023-05-16
1.0,THB,39.2,39.99,39.6,39,0,0,39,39.6,태국 바트,2023-05-16
1.0,USD,"1,324.42","1,351.17","1,337.8","1,337",0,0,"1,337","1,337.8",미국 달러,2023-05-16
1.0,AED,360.18,367.45,363.82,363,0,0,363,363.82,아랍에미리트 디르함,2023-05-17
1.0,AUD,880.14,897.93,889.04,889,0,0,889,889.04,호주 달러,2023-05-17
1.0,BHD,"3,508.04","3,578.91","3,543.48","3,543",0,0,"3,543","3,543.48",바레인 디나르,2023-05-17
1.0,BND,986.64,"1,006.57",996.61,996,0,0,996,996.61,브루나이 달러,2023-05-17
1.0,CAD,981.29,"1,001.12",991.21,991,0,0,991,991.21,캐나다 달러,2023-05-17
1.0,CHF,"1,475.25","1,505.06","1,490.16","1,490",0,0,"1,490","1,490.16",스위스 프랑,2023-05-17
1.0,CNH,189.8,193.63,191.72,191,0,0,191,191.72,위안화,2023-05-17
1.0,DKK,192.95,196.84,194.9,194,0,0,194,194.9,덴마아크 크로네,2023-05-17
1.0,EUR,"1,436.64","1,465.67","1,451.16","1,451",0,0,"1,451","1,451.16",유로,2023-05-17
1.0,GBP,"1,650.78","1,684.13","1,667.46","1,667",0,0,"1,667","1,667.46",영국 파운드,2023-05-17
1.0,HKD,168.73,172.14,170.44,170,0,0,170,170.44,홍콩 달러,2023-05-17
1.0,IDR,8.91,9.1,9.01,9,0,0,9,9.01,인도네시아 루피아,2023-05-17
1.0,JPY,969.49,989.08,979.29,979,0,0,979,979.29,일본 옌,2023-05-17
1.0,KRW,0,0,1,1,0,0,1,1,한국 원,2023-05-17
1.0,KWD,"4,307.56","4,394.59","4,351.08","4,351",0,0,"4,351","4,351.08",쿠웨이트 디나르,2023-05-17
1.0,MYR,294.14,300.09,297.12,297,0,0,297,297.12,말레이지아 링기트,2023-05-17
1.0,NOK,123.33,125.82,124.58,124,0,0,124,124.58,노르웨이 크로네,2023-05-17
1.0,NZD,823.8,840.45,832.13,832,0,0,832,832.13,뉴질랜드 달러,2023-05-17
1.0,SAR,352.7,359.83,356.27,356,0,0,356,356.27,사우디 리얄,2023-05-17
1.0,SEK,127.06,129.63,128.35,128,0,0,128,128.35,스웨덴 크로나,2023-05-17
1.0,SGD,986.64,"1,006.57",996.61,996,0,0,996,996.61,싱가포르 달러,2023-05-17
1.0,THB,38.78,39.57,39.18,39,0,0,39,39.18,태국 바트,2023-05-17
1.0,USD,"1,322.64","1,349.36","1,336","1,336",0,0,"1,336","1,336",미국 달러,2023-05-17
1.0,AED,361.1,368.39,364.75,364,0,0,364,364.75,아랍에미리트 디르함,2023-05-18
1.0,AUD,882.99,900.82,891.91,891,0,0,891,891.91,호주 달러,2023-05-18
1.0,BHD,"3,516.97","3,588.02","3,552.5","3,552",0,0,"3,552","3,552.5",바레인 디나르,2023-05-18
1.0,BND,987.86,"1,007.81",997.84,997,0,0,997,997.84,브루나이 달러,2023-05-18
1.0,CAD,985.04,"1,004.93",994.99,994,0,0,994,994.99,캐나다 달러,2023-05-18
1.0,CHF,"1,475.71","1,505.52","1,490.62","1,490",0,0,"1,490","1,490.62",스위스 프랑,2023-05-18
1.0,CNH,189.37,193.2,191.29,191,0,0,191,191.29,위안화,2023-05-18
1.0,DKK,192.95,196.84,194.9,194,0,0,194,194.9,덴마아크 크로네,2023-05-18
1.0,EUR,"1,437.12","1,466.15","1,451.64","1,451",0,0,"1,451","1,451.64",유로,2023-05-18
1.0,GBP,"1,655.85","1,689.3","1,672.58","1,672",0,0,"1,672","1,672.58",영국 파운드,2023-05-18
1.0,HKD,169.31,172.74,171.03,171,0,0,171,171.03,홍콩 달러,2023-05-18
1.0,IDR,8.91,9.1,9.01,9,0,0,9,9.01,인도네시아 루피아,2023-05-18
1.0,JPY,963.7,983.17,973.44,973,0,0,973,973.44,일본 옌,2023-05-18
1.0,KRW,0,0,1,1,0,0,1,1,한국 원,2023-05-18
1.0,KWD,"4,318.25","4,405.48","4,361.87","4,361",0,0,"4,361","4,361.87",쿠웨이트 디나르,2023-05-18
1.0,MYR,293.04,298.96,296,296,0,0,296,296,말레이지아 링기트,2023-05-18
1.0,NOK,123.11,125.6,124.36,124,0,0,124,124.36,노르웨이 크로네,2023-05-18
1.0,NZD,827.88,844.61,836.25,836,0,0,836,836.25,뉴질랜드 달러,2023-05-18
1.0,SAR,353.55,360.7,357.13,357,0,0,357,357.13,사우디 리얄,2023-05-18
1.0,SEK,126.9,129.47,128.19,128,0,0,128,128.19,스웨덴 크로나,2023-05-18
1.0,SGD,987.86,"1,007.81",997.84,997,0,0,997,997.84,싱가포르 달러,2023-05-18
1.0,THB,38.7,39.49,39.1,39,0,0,39,39.1,태국 바트,2023-05-18
1.0,USD,"1,326","1,352.79","1,339.4","1,339",0,0,"1,339","1,339.4",미국 달러,2023-05-18
1.0,AED,359.33,366.58,362.96,362,0,0,362,362.96,아랍에미리트 디르함,2023-05-19
1.0,AUD,874.15,891.8,882.98,882,0,0,882,882.98,호주 달러,2023-05-19
1.0,BHD,"3,499.38","3,570.07","3,534.73","3,534",0,0,"3,534","3,534.73",바레인 디나르,2023-05-19
1.0,BND,978.94,998.71,988.83,988,0,0,988,988.83,브루나이 달러,2023-05-19
1.0,CAD,977.52,997.27,987.4,987,0,0,987,987.4,캐나다 달러,2023-05-19
1.0,CHF,"1,458.19","1,487.64","1,472.92","1,472",0,0,"1,472","1,472.92",스위스 프랑,2023-05-19
1.0,CNH,187.82,191.61,189.72,189,0,0,189,189.72,위안화,2023-05-19
1.0,DKK,190.89,194.74,192.82,192,0,0,192,192.82,덴마아크 크로네,2023-05-19
1.0,EUR,"1,421.75","1,450.48","1,436.12","1,436",0,0,"1,436","1,436.12",유로,2023-05-19
1.0,GBP,"1,637.8","1,670.89","1,654.35","1,654",0,0,"1,654","1,654.35",영국 파운드,2023-05-19
1.0,HKD,168.56,171.97,170.27,170,0,0,170,170.27,홍콩 달러,2023-05-19
1.0,IDR,8.88,9.05,8.97,8,0,0,8,8.97,인도네시아 루피아,2023-05-19
1.0,JPY,952.38,971.62,962,962,0,0,962,962,일본 옌,2023-05-19
1.0,KRW,0,0,1,1,0,0,1,1,한국 원,2023-05-19
1.0,KWD,"4,292.73","4,379.46","4,336.1","4,336",0,0,"4,336","4,336.1",쿠웨이트 디나르,2023-05-19
1.0,MYR,290.83,296.7,293.77,293,0,0,293,293.77,말레이지아 링기트,2023-05-19
1.0,NOK,120.85,123.3,122.08,122,0,0,122,122.08,노르웨이 크로네,2023-05-19
1.0,NZD,822.88,839.51,831.2,831,0,0,831,831.2,뉴질랜드 달러,2023-05-19
1.0,SAR,351.83,358.94,355.39,355,0,0,355,355.39,사우디 리얄,2023-05-19
1.0,SEK,124.86,127.39,126.13,126,0,0,126,126.13,스웨덴 크로나,2023-05-19
1.0,SGD,978.94,998.71,988.83,988,0,0,988,988.83,싱가포르 달러,2023-05-19
1.0,THB,38.32,39.09,38.71,38,0,0,38,38.71,태국 바트,2023-05-19
1.0,USD,"1,319.37","1,346.02","1,332.7","1,332",0,0,"1,332","1,332.7",미국 달러,2023-05-19
1.0,AED,358.88,366.13,362.51,362,0,0,362,362.51,아랍에미리트 디르함,2023-05-22
1.0,AUD,876.79,894.5,885.65,885,0,0,885,885.65,호주 달러,2023-05-22
1.0,BHD,"3,495.44","3,566.05","3,530.75","3,530",0,0,"3,530","3,530.75",바레인 디나르,2023-05-22
1.0,BND,980.16,999.97,990.07,990,0,0,990,990.07,브루나이 달러,2023-05-22
1.0,CAD,976.75,996.48,986.62,986,0,0,986,986.62,캐나다 달러,2023-05-22
1.0,CHF,"1,467.01","1,496.64","1,481.83","1,481",0,0,"1,481","1,481.83",스위스 프랑,2023-05-22
1.0,CNH,186.77,190.54,188.66,188,0,0,188,188.66,위안화,2023-05-22
1.0,DKK,191.48,195.35,193.42,193,0,0,193,193.42,덴마아크 크로네,2023-05-22
1.0,EUR,"1,426.28","1,455.09","1,440.69","1,440",0,0,"1,440","1,440.69",유로,2023-05-22
1.0,GBP,"1,641.89","1,675.06","1,658.48","1,658",0,0,"1,658","1,658.48",영국 파운드,2023-05-22
1.0,HKD,168.57,171.98,170.28,170,0,0,170,170.28,홍콩 달러,2023-05-22
1.0,IDR,8.83,9,8.92,8,0,0,8,8.92,인도네시아 루피아,2023-05-22
1.0,JPY,957.66,977.01,967.34,967,0,0,967,967.34,일본 옌,2023-05-22
1.0,KRW,0,0,1,1,0,0,1,1,한국 원,2023-05-22
1.0,KWD,"4,289.99","4,376.66","4,333.33","4,333",0,0,"4,333","4,333.33",쿠웨이트 디나르,2023-05-22
1.0,MYR,290.37,296.24,293.31,293,0,0,293,293.31,말레이지아 링기트,2023-05-22
1.0,NOK,121.13,123.58,122.36,122,0,0,122,122.36,노르웨이 크로네,2023-05-22
1.0,NZD,827.1,843.81,835.46,835,0,0,835,835.46,뉴질랜드 달러,2023-05-22
1.0,SAR,351.44,358.53,354.99,354,0,0,354,354.99,사우디 리얄,2023-05-22
1.0,SEK,125.43,127.96,126.7,126,0,0,126,126.7,스웨덴 크로나,2023-05-22
1.0,SGD,980.16,999.97,990.07,990,0,0,990,990.07,싱가포르 달러,2023-05-22
1.0,THB,38.4,39.17,38.79,38,0,0,38,38.79,태국 바트,2023-05-22
1.0,USD,"1,317.88","1,344.51","1,331.2","1,331",0,0,"1,331","1,331.2",미국 달러,2023-05-22
1.0,AED,355.61,362.8,359.21,359,0,0,359,359.21,아랍에미리트 디르함,2023-05-23
1.0,AUD,868.36,885.91,877.14,877,0,0,877,877.14,호주 달러,2023-05-23
1.0,BHD,"3,463.67","3,533.64","3,498.66","3,498",0,0,"3,498","3,498.66",바레인 디나르,2023-05-23
1.0,BND,969.89,989.48,979.69,979,0,0,979,979.69,브루나이 달러,2023-05-23
1.0,CAD,966.83,986.36,976.6,976,0,0,976,976.6,캐나다 달러,2023-05-23
1.0,CHF,"1,454.24","1,483.61","1,468.93","1,468",0,0,"1,468","1,468.93",스위스 프랑,2023-05-23
1.0,CNH,185.81,189.56,187.69,187,0,0,187,187.69,위안화,2023-05-23
1.0,DKK,189.57,193.4,191.49,191,0,0,191,191.49,덴마아크 크로네,2023-05-23
1.0,EUR,"1,411.74","1,440.27","1,426.01","1,426",0,0,"1,426","1,426.01",유로,2023-05-23
1.0,GBP,"1,623.96","1,656.77","1,640.37","1,640",0,0,"1,640","1,640.37",영국 파운드,2023-05-23
1.0,HKD,166.81,170.18,168.5,168,0,0,168,168.5,홍콩 달러,2023-05-23
1.0,IDR,8.77,8.94,8.86,8,0,0,8,8.86,인도네시아 루피아,2023-05-23
1.0,JPY,942.38,961.41,951.9,951,0,0,951,951.9,일본 옌,2023-05-23
1.0,KRW,0,0,1,1,0,0,1,1,한국 원,2023-05-23
1.0,KWD,"4,250.04","4,335.89","4,292.97","4,292",0,0,"4,292","4,292.97",쿠웨이트 디나르,2023-05-23
1.0,MYR,287.13,292.94,290.04,290,0,0,290,290.04,말레이지아 링기트,2023-05-23
1.0,NOK,119.76,122.17,120.97,120,0,0,120,120.97,노르웨이 크로네,2023-05-23
1.0,NZD,820.89,837.48,829.19,829,0,0,829,829.19,뉴질랜드 달러,2023-05-23
1.0,SAR,348.24,355.27,351.76,351,0,0,351,351.76,사우디 리얄,2023-05-23
1.0,SEK,123.63,126.12,124.88,124,0,0,124,124.88,스웨덴 크로나,2023-05-23
1.0,SGD,969.89,989.48,979.69,979,0,0,979,979.69,싱가포르 달러,2023-05-23
1.0,THB,37.89,38.66,38.28,38,0,0,38,38.28,태국 바트,2023-05-23
